,app_id,app_name,neg,pos,steam_score,wilson
170,22380,Fallout: New Vegas,"2,152","46,719",95.60%,95.38%
171,12900,Audiosurf,359,"8,372",95.89%,95.38%
172,260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,582,"13,151",95.76%,95.36%
173,405640,Pony Island,261,"6,177",95.95%,95.36%
174,410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,89,"2,317",96.30%,95.34%
175,429660,Tales of Berseria,91,"2,356",96.28%,95.32%
176,418650,Space Pirate Trainer,39,"1,139",96.69%,95.31%
177,377860,Mushihimesama,18,618,97.17%,95.29%
178,260750,Neighbours from Hell,33,983,96.75%,95.26%
179,219890,Antichamber,459,"10,257",95.72%,95.26%
180,282070,This War of Mine,"1,279","27,397",95.54%,95.26%
181,4700,Medieval II: Total War,304,"6,933",95.80%,95.24%
182,465520,PRICE,103,"2,576",96.16%,95.23%
183,355980,Dungeon Warfare,11,429,97.50%,95.22%
184,433340,Slime Rancher,450,"9,952",95.67%,95.20%
185,453340,Hustle Cat,9,373,97.64%,95.19%
186,285440,Crimzon Clover WORLD IGNITION,28,848,96.80%,95.18%
187,225080,Brothers - A Tale of Two Sons,"1,226","25,845",95.47%,95.18%
188,495890,Montaro,266,"6,032",95.78%,95.17%
189,430960,Lucy -The Eternity She Wished For-,82,"2,072",96.19%,95.16%
190,518580,Accounting,52,"1,402",96.42%,95.16%
191,282900,Hyperdimension Neptunia Re;Birth1,321,"7,146",95.70%,95.14%
192,348250,Google Earth VR,40,"1,118",96.55%,95.13%
193,78000,Bejeweled 3,78,"1,970",96.19%,95.12%
194,230270,N++,40,"1,107",96.51%,95.08%
195,250050,Life Goes On,12,441,97.35%,95.07%
196,347620,Gaokao.Love.100Days,149,"3,456",95.87%,95.06%
197,237930,Transistor,790,"16,489",95.43%,95.06%
198,523780,Emily is Away Too,38,"1,054",96.52%,95.05%
199,204450,Call of Juarez Gunslinger,506,"10,769",95.51%,95.05%
200,255340,Escape Goat 2,6,281,97.91%,95.04%
201,302380,Floating Point,128,"2,996",95.90%,95.03%
202,497640,Trick & Treat,33,931,96.58%,95.00%
203,630,Alien Swarm,775,"15,954",95.37%,94.99%
204,223470,POSTAL 2,"1,196","24,175",95.29%,94.98%
205,41060,Serious Sam Classic: The Second Encounter,17,555,97.03%,94.98%
206,310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,38,"1,037",96.47%,94.97%
207,3830,Psychonauts,277,"5,923",95.53%,94.91%
208,296470,Mount Your Friends,247,"5,331",95.57%,94.91%
209,322190,SteamWorld Heist,48,"1,239",96.27%,94.90%
210,359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,323,"6,798",95.46%,94.88%
211,322770,Vanishing Realms,73,"1,766",96.03%,94.88%
212,312530,Duck Game,470,"9,657",95.36%,94.87%
213,541570,Sally Face,5,243,97.98%,94.83%
214,317400,Portal Stories: Mel,359,"7,424",95.39%,94.82%
215,236450,PAC-MAN Championship Edition DX+,268,"5,643",95.47%,94.82%
216,305760,Redirection,0,92,100%,94.82%
217,377660,Blockwick 2,0,92,100%,94.82%
218,22320,The Elder Scrolls III: Morrowind,339,"7,015",95.39%,94.81%
219,331470,Everlasting Summer,"1,079","21,157",95.15%,94.81%
220,398850,Epistory - Typing Chronicles,40,"1,047",96.32%,94.81%
221,41700,S.T.A.L.K.E.R.: Call of Pripyat,285,"5,949",95.43%,94.80%
222,315810,eden*,47,"1,192",96.21%,94.79%
223,22330,The Elder Scrolls IV: Oblivion ,471,"9,526",95.29%,94.79%
224,200510,XCOM: Enemy Unknown,"1,720","33,107",95.06%,94.79%
225,40970,Stronghold Crusader HD,111,"2,510",95.76%,94.79%
226,439490,BLUE REVOLVER,1,126,99.21%,94.79%
227,50,Half-Life: Opposing Force,158,"3,431",95.60%,94.76%
228,304430,INSIDE,609,"12,067",95.20%,94.75%
229,314180,Deathsmiles,4,212,98.15%,94.75%
230,49600,Beat Hazard,267,"5,529",95.39%,94.74%
231,200710,Torchlight II,"1,293","24,772",95.04%,94.73%
232,2200,Quake III Arena,31,837,96.43%,94.73%
233,248610,Door Kickers,179,"3,808",95.51%,94.72%
234,2310,Quake,70,"1,651",95.93%,94.72%
